"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"전국  (1000000000)","51,159,889","25,463,429","25,696,460","10,600,681","4,717,286","5,883,395"
"서울특별시  (1100000000)","9,323,492","4,495,747","4,827,745","1,866,826","825,983","1,040,843"
"부산광역시  (2600000000)","3,251,625","1,581,251","1,670,374","803,008","351,130","451,878"
"대구광역시  (2700000000)","2,357,040","1,155,185","1,201,855","508,177","219,528","288,649"
"인천광역시  (2800000000)","3,041,215","1,519,326","1,521,889","558,240","250,953","307,287"
"광주광역시  (2900000000)","1,398,538","690,124","708,414","255,232","110,658","144,574"
"대전광역시  (3000000000)","1,440,682","718,010","722,672","268,962","119,770","149,192"
"울산광역시  (3100000000)","1,093,317","563,050","530,267","196,921","91,793","105,128"
"세종특별자치시  (3600000000)","392,154","195,253","196,901","46,968","21,306","25,662"
"경기도  (4100000000)","13,715,016","6,889,738","6,825,278","2,366,589","1,073,213","1,293,376"
"강원특별자치도  (5100000000)","1,510,181","759,348","750,833","396,516","178,049","218,467"
"충청북도  (4300000000)","1,591,815","810,991","780,824","359,580","162,093","197,487"
"충청남도  (4400000000)","2,136,299","1,096,544","1,039,755","490,744","220,094","270,650"
"전북특별자치도  (5200000000)","1,729,337","861,705","867,632","450,432","196,848","253,584"
"전라남도  (4600000000)","1,782,183","900,012","882,171","497,966","217,030","280,936"
"경상북도  (4700000000)","2,516,753","1,273,708","1,243,045","675,978","298,476","377,502"
"경상남도  (4800000000)","3,214,016","1,620,579","1,593,437","727,938","322,754","405,184"
"제주특별자치도  (5000000000)","666,226","332,858","333,368","130,604","57,608","72,996"
