광역지자체,기초지자체,교육인원
강원특별자치도,강릉시,2890
강원특별자치도,고성군,46
강원특별자치도,동해시,1754
강원특별자치도,삼척시,420
강원특별자치도,속초시,168
강원특별자치도,양구군,107
강원특별자치도,양양군,262
강원특별자치도,영월군,565
강원특별자치도,원주시,7194
강원특별자치도,인제군,355
강원특별자치도,정선군,179
강원특별자치도,철원군,12
강원특별자치도,춘천시,4205
강원특별자치도,태백시,48
강원특별자치도,평창군,106
강원특별자치도,홍천군,887
강원특별자치도,화천군,12
강원특별자치도,횡성군,709
강원특별자치도,이동형 교육,439
경기도,가평군,729
경기도,고양시,1540
경기도,과천시,236
경기도,광명시,2770
경기도,광주시,322
경기도,구리시,72
경기도,군포시,819
경기도,김포시,3683
경기도,남양주시,251
경기도,동두천시,180
경기도,부천시,4091
경기도,성남시,3014
경기도,수원시,9797
경기도,시흥시,1962
경기도,안산시,2389
경기도,안성시,3133
경기도,안양시,1324
경기도,양주시,325
경기도,양평군,687
경기도,여주시,1074
경기도,연천군,421
경기도,오산시,2517
경기도,용인시,1340
경기도,의왕시,600
경기도,의정부시,3220
경기도,이천시,744
경기도,파주시,633
경기도,평택시,672
경기도,포천시,444
경기도,하남시,793
경기도,화성시,1777
경기도,이동형 교육,1621
경상남도,거제시,2133
경상남도,거창군,713
경상남도,고성군,791
경상남도,김해시,3391
경상남도,남해군,938
경상남도,밀양시,576
경상남도,사천시,2771
경상남도,산청군,907
경상남도,양산시,4506
경상남도,의령군,678
경상남도,진주시,7492
경상남도,창녕군,3406
경상남도,창원시,6915
경상남도,통영시,1169
경상남도,하동군,666
경상남도,함안군,762
경상남도,함양군,961
경상남도,합천군,578
경상북도,경산시,7572
경상북도,경주시,3927
경상북도,고령군,917
경상북도,구미시,7931
경상북도,김천시,3727
경상북도,문경시,247
경상북도,봉화군,60
경상북도,상주시,4500
경상북도,성주군,256
경상북도,안동시,4041
경상북도,영덕군,242
경상북도,영양군,23
경상북도,영주시,2637
경상북도,영천시,1701
경상북도,예천군,1807
경상북도,울릉군,427
경상북도,울진군,563
경상북도,의성군,75
경상북도,청도군,1874
경상북도,청송군,634
경상북도,칠곡군,2188
경상북도,포항시,4284
경상북도,이동형 교육,85
광주광역시,광산구,2078
광주광역시,남구,3183
광주광역시,동구,4225
광주광역시,북구,6347
광주광역시,서구,2099
대구광역시,군위군,114
대구광역시,남구,3538
대구광역시,달서구,10166
대구광역시,달성군,774
대구광역시,동구,8031
대구광역시,북구,934
대구광역시,서구,1502
대구광역시,수성구,2750
대구광역시,중구,1214
대구광역시,이동형 교육,1374
대전광역시,대덕구,252
대전광역시,동구,1205
대전광역시,서구,4124
대전광역시,유성구,4335
대전광역시,중구,1186
대전광역시,이동형 교육,662
부산광역시,강서구,3810
부산광역시,금정구,3106
부산광역시,기장군,2678
부산광역시,남구,5116
부산광역시,동구,6546
부산광역시,동래구,4463
부산광역시,부산진구,6552
부산광역시,북구,3023
부산광역시,사상구,9530
부산광역시,사하구,5512
부산광역시,서구,3574
부산광역시,수영구,3256
부산광역시,연제구,3754
부산광역시,영도구,2405
부산광역시,중구,2408
부산광역시,해운대구,3577
부산광역시,이동형 교육,2355
서울특별시,강남구,282
서울특별시,강동구,6393
서울특별시,강북구,2194
서울특별시,강서구,3211
서울특별시,관악구,325
서울특별시,광진구,957
서울특별시,구로구,2765
서울특별시,금천구,617
서울특별시,노원구,1413
서울특별시,도봉구,2592
서울특별시,동대문구,756
서울특별시,동작구,830
서울특별시,마포구,3431
서울특별시,서대문구,490
서울특별시,서초구,275
서울특별시,성동구,816
서울특별시,성북구,1477
서울특별시,송파구,1265
서울특별시,양천구,1019
서울특별시,영등포구,696
서울특별시,용산구,871
서울특별시,은평구,1473
서울특별시,종로구,690
서울특별시,중구,370
서울특별시,중랑구,1067
서울특별시,이동형 교육,1691
세종특별자치시,세종특별자치시,10615
울산광역시,남구,12869
울산광역시,동구,1781
울산광역시,북구,1028
울산광역시,울주군,3084
울산광역시,중구,2006
인천광역시,강화군,225
인천광역시,계양구,4355
인천광역시,남동구,10346
인천광역시,동구,209
인천광역시,미추홀구,932
인천광역시,부평구,1441
인천광역시,서구,1175
인천광역시,연수구,2028
인천광역시,옹진군,50
인천광역시,중구,975
전라남도,강진군,303
전라남도,고흥군,494
전라남도,곡성군,365
전라남도,광양시,5246
전라남도 ,구례군,1162
전라남도,나주시,1519
전라남도,담양군,442
전라남도,목포시,6143
전라남도,무안군,8057
전라남도,보성군,2833
전라남도,순천시,9453
전라남도,신안군,243
전라남도,여수시,2694
전라남도,영광군,348
전라남도,영암군,349
전라남도,완도군,613
전라남도,장성군,570
전라남도,장흥군,1012
전라남도,진도군,555
전라남도,함평군,1476
전라남도,해남군,1019
전라남도,화순군,406
전북특별자치도,고창군,720
전북특별자치도,군산시,2528
전북특별자치도,김제시,1029
전북특별자치도,남원시,326
전북특별자치도,무주군,694
전북특별자치도,부안군,376
전북특별자치도,순창군,380
전북특별자치도,완주군,1427
전북특별자치도,익산시,7291
전북특별자치도,임실군,241
전북특별자치도,장수군,461
전북특별자치도,전주시,19191
전북특별자치도,정읍시,1731
전북특별자치도,진안군,324
제주특별자치도,서귀포시,6260
제주특별자치도,제주시,12887
충청남도,계룡시,1106
충청남도,공주시,1132
충청남도,금산군,152
충청남도,논산시,1454
충청남도,당진시,1166
충청남도,보령시,2850
충청남도,부여군,2360
충청남도,서산시,1434
충청남도,서천군,284
충청남도,아산시,5843
충청남도,예산군,2733
충청남도,천안시,5722
충청남도,청양군,194
충청남도,태안군,780
충청남도,홍성군,4856
충청북도,괴산군,1203
충청북도,단양군,581
충청북도,보은군,2271
충청북도,영동군,824
충청북도,옥천군,723
충청북도,음성군,789
충청북도,제천시,3963
충청북도,증평군,603
충청북도,진천군,865
충청북도,청주시,11665
충청북도,충주시,3487
